station,name,distance,address,category
3,Le Musée en Ile de France du chemin de fer,98,1 place des Martyrs de la Résistance,Museum
3,Pizza Santa Lucia,124,1 avenue de la République,Pizzeria
3,L'Osteria,129,17 rue du Général Leclerc,Café
3,Rosny-Rail,139,1 place des Martyrs de la Résistance et de la Deportion,Museum
3,Shalimar,159,25 rue du Général Leclerc,Indian Restaurant
3,Shimla,190,25 rue du Général Leclerc,Restaurant
3,Black and white chicha,372,6 place Carnot,Café
3,Sushi S'Thai,384,55 avenue Jean Jaurès,Fast Food Restaurant
3,Gelateria Verdi,398,1 rue du Général Gallieni,Pizzeria
3,Paradise Cafe,411,15 place Carnot,Bar
3,Efes,414,6 rue Richard Gardebled,Pizzeria
3,Royal Tokyo,418,14 rue Richard Gardebled,Brasserie
3,Chiken Rosny Centre,418,"1 et 3, 1 rue des Berthauds",Fast Food Restaurant
3,Ristorante Del Arte Rosny 2,443,Centre Commercial Régional Rosny II,Pizzeria
3,Chez Vergile,489,1 avenue du Général de Gaulle,Bistro
3,Maisons du Monde Rosny-sous-Bois,492,Centre commercial Rosny 2,Buffet
3,Flunch Rosny,582,avenue du Général Leclerc,Restaurant
3,Five Guys Rosny 2,582,avenue Général de Gaulle,Restaurant
3,Goût truck,612,99 rue Victor Hugo,Restaurant
3,Salle Jean Xviii,677,128 rue du Général Leclerc,Comedy Club
3,Ristorante Del Arte Rosny,781,27 rue Jules Ferry,Pizzeria
3,Gujarat Palace,788,3 rue Jean Mermoz,Restaurant
3,Dauphin Bleu 2,884,125 boulevard de Lattre de Tassigny,Asian Restaurant
3,L'Auberge du Golf,892,12 rue Raspail,Restaurant
3,Quick,921,186 avenue du Général de Gaulle,Burger Joint
3,Fresh And Pop,922,15 allée Gabriel Zirnhelt,Burger Joint
3,Indigo,922,9 avenue du Général de Gaulle,Salad Restaurant
3,Obrigado Rodizio,979,13 allée Gabriel Zirnhelt,Brazilian Restaurant
3,Homarus,1028,3 allée Gabriel Zirnhelt,Seafood Restaurant
3,Yogurt Factory,1247,2 avenue du Général de Gaulle,Restaurant
3,Gelateria Verdi,76,Centre Ville de Rosny sous Bois,Restaurant
3,Le Maroc,107,17 rue du Général Leclerc,Restaurant
3,Cafe de la Gare,154,22 avenue de la République,Bar
3,Le Camion Pizza,169,3 rue Claude Pernes,Pizzeria
3,Sushi Nagasaki,420,2 centre commercial Rosny 2,Restaurant
3,Sté Histoire de Rosny,433,7 rue Saint Claude,Museum
3,Ugc Cine Cite Ile de France,476,16 centre cial Rosny 2,Movie Theater
3,Delice Sushi,482,2 avenue du Général de Gaulle,Restaurant
3,La Brasserie de l'Église,489,1 avenue du Général de Gaulle,French Restaurant
3,Rosny Sud,582,27 rue Jules Ferry,French Restaurant
3,Gout Truck,627,91 rue Victor Hugo,Restaurant
3,La Mamma,637,42 avenue Jean Jaurès,Fast Food Restaurant
3,Péniche,712,11 rue Simon Dereure,Bar
3,A.C.B,794,6 rue Philibert Hoffmann,Pizzeria
3,La Dune,799,186 avenue du Général de Gaulle,Restaurant
3,El Rancho Rosny,799,Centre Commercial Rosny 2,Restaurant
4,A Mi Chemin,176,31 rue Boulard,Brasserie
4,La Fabrica,449,81 rue d'Alésia,Pizzeria
4,Un Jour à Hà Nôi,356,46 rue Daguerre,Vietnamese Restaurant
4,Le Cornichon,363,34 rue Gassendi,Brasserie
4,Burger King,311,78-80 avenue du Général Leclerc,Burger Joint
4,Fondation Cartier pour l'Art Contemporain,656,261 boulevard Raspail 75014,Art Museum
4,Les Rouquins,593,146 rue du Château,Wine Bar
4,Les Jardins Contini,203,49 avenue du Général Leclerc,Pizzeria
4,Le Verre Siffleur,438,73 rue d'Alésia,Bistro
4,Kakdougui,183,55 rue du Couedic,French Restaurant
4,L'Assiette,410,"181 rue du Château, 14e",Bistro
4,Chez Papa,503,6 rue Gassendi,Brasserie
4,Catacombs of Paris (Catacombes de Paris),347,"1 avenue du Colonel Henri Rol-Tanguy, 14e",History Museum
4,Hexagone Café,788,121 rue du Château,Café
4,Institut Giacometti,522,5 rue Victor Schoelcher Metro Raspail,Art Museum
4,Cantinella,891,30 rue du Faubourg Saint-Jacques,Pizzeria
4,Assanabel,650,6 rue d'Alésia,Lebanese Restaurant
4,Augustin Bistrot,538,79 rue Daguerre,Restaurant
4,Félicie,350,"174 avenue du Maine, 14e",Bar
4,Le Jéroboam,949,72 rue Didn't,French Restaurant
4,Les Vendanges,914,40 rue Friant,French Restaurant
4,Le Rallye Peret,244,6 rue Daguerre,Bar
4,Il Far'Niente,906,14 rue Paul Fort,Italian Restaurant
4,Café Chinchin,968,25 avenue Reille,Bar
4,Kimura,821,38 rue Pernety,Sushi Restaurant
4,R'Yves,781,17 boulevard Saint-Jacques,Brasserie
4,Kazoku,645,105 rue de la Tombe Issoire,Japanese Restaurant
4,La Contre Allée,574,83 avenue Denfert Rochereau,French Restaurant
4,Café Daguerre,248,4 avenue du Général Leclerc rue Daguerre,Café
4,Café du Rendez-Vous,275,2 avenue du Général Leclerc,Bistro
4,Auto Passion Café,951,"197 boulevard Brune, 14e",Restaurant
4,Maison Edgar,890,232 boulevard Raspail,Bar
4,Café Oz Denfert-Rochereau,377,3 place Denfert-Rochereau,Night Club
4,Pho 21,999,21 rue de la Gaité,Vietnamese Restaurant
4,Poinçon,824,124 avenue du Général Leclerc,French Restaurant
4,Les Artistes,859,60 rue Didot,Lounge
4,Au Réveil Samaritain,855,3 boulevard Saint Jacques,Café
4,L'Empreinte,22,5 rue Mouton-Duvernet,French Restaurant
4,La Chope Daguerre,238,17 rue Daguerre,Bar
4,ED,74,11 rue Brezin,Deli
4,Juné,93,7 rue Ernest Cresson,Chinese Restaurant
4,Le Lithographe,823,234 boulevard Raspail,Bar
4,Indiana Café,283,1 B avenue du Général Leclerc,Fast Food Restaurant
4,Musée de la Libération de Paris,329,4 avenue du Colonel Henri Rol-Tanguy,Museum
4,Chez Maurice,365,2 rue Boulard,French Restaurant
4,Le Florissant,397,3 rue Bezout,Asian Restaurant
4,Le Comptoir,406,18 avenue René Coty,Café
4,Boutique des Catacombes,449,21 Bis avenue Ren\u00e9 Coty,History Museum
4,Le Vaudesir,474,41 rue Dareau,Brasserie
4,Kebab Alésia,505,37 rue d'Alésia,Kebab Restaurant
5,Hexagone Café,221,121 rue du Château,Café
5,Les Rouquins,331,146 rue du Château,Wine Bar
5,Le Cornichon,620,34 rue Gassendi,Brasserie
5,Le Petit Sommelier,715,49 avenue du Maine,Brasserie
5,Chez Kimly,643,86 rue Didot,Vietnamese Restaurant
5,Kimura,88,38 rue Pernety,Sushi Restaurant
5,Un Jour à Hà Nôi,747,46 rue Daguerre,Vietnamese Restaurant
5,Le Jéroboam,577,72 rue Didn't,French Restaurant
5,Musée Bourdelle,994,"18 rue Antoine Bourdelle, 15e",Art Museum
5,L'Assiette,500,"181 rue du Château, 14e",Bistro
5,Le Plomb du Cantal,872,3 rue de la Gaité,Auvergne Restaurant
5,Le Ciel de Paris,937,33 avenue du Maine,French Restaurant
5,Augustin Bistrot,558,79 rue Daguerre,Restaurant
5,Chez Papa,755,6 rue Gassendi,Brasserie
5,Ten Chi,802,16 rue du Maine,Coffee Shop
5,Creperie Manoir Breton,997,18 rue d'Odessa,French Restaurant
5,Burger King,930,78-80 avenue du Général Leclerc,Burger Joint
5,Le Café Chineur,366,170 rue d'Alésia,Bar
5,Félicie,555,"174 avenue du Maine, 14e",Bar
5,Les Jardins Contini,961,49 avenue du Général Leclerc,Pizzeria
5,Ty Breiz,750,52 boulevard de Vaugirard,French Restaurant
5,Il Macchiato,687,168 rue Raymond Losserand,Café
5,Le Rallye Peret,974,6 rue Daguerre,Bar
5,McDonald's,884,27 rue du Départ,Burger Joint
5,Pho 21,785,21 rue de la Gaité,Vietnamese Restaurant
5,Les Artistes,494,60 rue Didot,Lounge
5,L'Atlantique,814,41 avenue du Maine,Bar
5,Musée de la Poste,799,34 boulevard de Vaugirard,History Museum
5,Café la Bohème,897,19 boulevard Edgar Quinet,Café
5,Pizza Roma,667,61 avenue du Maine,Pizzeria
5,Le Paris Montparnasse,768,43 avenue du Maine,Coffee Shop
5,Sushi Express,272,140 rue du Château,Fast Food Restaurant
5,Au Réveil Samaritain,1735,3 boulevard Saint Jacques,Café
5,Café la Liberté,925,1 rue de la Gaite,Bar
5,Indiana Club,600,77 avenue du Maine,Latin American Restaurant
5,Umami Burger Paris,514,19 rue Commandant René Mouchotte,Burger Joint
5,Boucherie du Temps Passé (Boucherie Limousine),554,85 rue Didot,Deli
5,La Scuderia,642,10 rue de l'Armorique,Pizzeria
5,La Chope Daguerre,907,17 rue Daguerre,Bar
5,Le 33 Gaîté,695,33 rue de la Gaîté,Dive Bar
5,Jour,778,Gare SNCF de Paris Montparnasse,Salad Restaurant
5,L'Express 27,784,27 boulevard de Vaugirard,Bistro
5,Café Odessa,950,28 rue d'Odessa,Bar
5,Juné,890,7 rue Ernest Cresson,Chinese Restaurant
5,L'Empreinte,897,5 rue Mouton-Duvernet,French Restaurant
5,Café Jeannette,905,6 place Bienvenue,Café
5,Le Vouvray,955,22 avenue Jean Moulin,Bar
5,Maison Pampa,970,64 rue du Montparnasse,Restaurant
5,McDonald's,982,McDonald's Alèsia 71 avenue du Gènèral Leclerc,Burger Joint
5,ABI,423,185 rue Raymond Losserand,Fast Food Restaurant
6,Chalet de la Porte Jaune,907,avenue de Nogent,French Restaurant
6,Le Bosquet,532,Parc Floral,Fast Food Restaurant
6,Gallery Shop Vegan Coffee,6224,2 rue Lesdiguières,Art Gallery
6,Le Bosquet,567,route de la Pyramide,Coffee Shop
6,Les Magnolias,583,23 route de la Pyramide,French Restaurant
7,Le Jourdain,846,101 rue des Couronnes,Fast Food Restaurant
7,La Bellevilloise,988,19-21 rue Boyer,Music Venue
7,Aux Ours,924,236 rue des Pyrénées,French Restaurant
7,Le Tablier Rouge,749,40 rue de la Chine,French Restaurant
7,Neelkanth,931,"12 bis, rue de la Chine",Indian Restaurant
7,Le Mezze du Chef,989,80 rue de Ménilmontant,Tapas Restaurant
7,Aux Petits Oignons,831,11 rue Dupont de l'Eure,Brasserie
7,Les Mésanges,800,82 rue de la Mare,Bistro
7,La Nouvelle Etoile,932,271 rue des Pyrennées,Bar
7,Palais de Pelleport,825,95 rue Orfila,Chinese Restaurant
7,The Dancing Goat,880,117 avenue Gambetta,Café
7,Le Petit Vingtième,810,381 rue des Pyrénées,French Restaurant
7,Le Bariolé,974,103 rue de Belleville,Dive Bar
7,Subway,626,154 rue de Belleville,Deli
7,La Gambette A Pain,693,86 avenue Gambetta,Bakery
7,Chéri-Chérie,467,203 avenue Gambetta,Diner
7,Le Fournil de Paris,45,261 rue de Belleville,Bakery
7,Les Calebasses de la Lobe,163,289 rue de Belleville,Restaurant
7,La Succulente des Tourelles,306,2 rue des Tourelles,Fast Food Restaurant
7,Santa Monica,354,15 rue Henri Ribière,Pizzeria
7,Sushi Sakanaya,711,351 rue des Pyrénées,Japanese Restaurant
7,Le Bistrot du Poinçonneur,455,229 avenue Gambetta,Bistro
7,Il Pinocchio,898,115 avenue Gambetta 75020,Pizzeria
7,Au Nid Créole,520,132 rue Pelleport,Caribbean Restaurant
7,Juicy Pop Restaurant,595,21 rue des Rigoles,Restaurant
7,McDonald's,532,1 boulevard Sérurier,Burger Joint
7,Falaf Ménilmontant,624,145 Bis rue de Ménilmontant,Falafel Restaurant
7,Invito,645,155 rue de Belleville,Italian Restaurant
7,Gambetta,796,64 avenue Gambetta,Café
7,Larsons News,674,90 avenue Gambetta,Bar
7,La Loba,690,312 rue des Pyrénnées,Tea Room
7,Pizza Hut,698,141 ter avenue Gambetta,Pizzeria
7,Brûlerie de Jourdain,703,140 rue de Belleville,Café
7,Panini Jourdain,718,6 rue Ue Levert,Fast Food Restaurant
7,La Suegra Paris,838,116 rue Orfila,Peruvian Restaurant
7,Restaurant Emeraude le Reservoir,841,2-4 rue de la Justice,Restaurant
7,Tavi Li Pizza,896,47 rue du Capitaine Marchale,Pizzeria
7,Barrio Meshica,900,15 rue de la Villette,Mexican Restaurant
7,L'Olivier,950,44 rue de Paris,Pizzeria
7,Au cœur de l'Himalaya,88,275 rue de Belleville,North Indian Restaurant
7,Outayeb Mohand,310,12 rue du Borrego,Restaurant
7,Bakery's coffee,369,rue Bois,Restaurant
7,Mood,433,10 rue Augustin Thierry,Restaurant
7,Africain Fashion Food,717,330 rue des Pyrénées,Fast Food Restaurant
7,Société Hoki 12,832,avenue du docteur gley,Restaurant
7,Ichou Salem,871,15 rue du Surmelin,Restaurant
7,Burger lutèce,885,30 rue du Surmelin,Restaurant
7,Les Enfants du Danube,889,29 boulevard d'Algérie,Café
7,Restaurant Neelkanth,920,12bis rue de la Chine,Restaurant
8,Billili,174,136 rue du Faubourg Poissonnière,Wine Bar
8,Brasserie Bellanger,202,140 rue du Faubourg Poissonnière,Brasserie
8,Mamiche,410,45 rue Condorcet,Bakery
8,Piccola Toscana,312,10 rue Rochambeau,Brazilian Restaurant
8,Le Trianon,596,"80 boulevard de Rochechouart, 18e",Concert Hall
8,Abri Soba,575,"10 rue Saulnier, 9e",Soba Restaurant
8,La Cure Gourmande,615,8 rue de Steinkerque,Bakery
8,KBCafeshop,632,"53 avenue Trudaine, 9e",Coffee Shop
8,Caillebotte,666,"8 rue Hippolyte Lebas, Paris",Bistro
8,Corso,402,10 avenue Trudaine,French Restaurant
8,NENI Paris,424,12 boulevard de Denain,Israeli Restaurant
8,Maison Georges Larnicol,678,7 rue de Steinkerque,Fast Food Restaurant
8,Dumbo,698,14 rue des Petites Ecuries,Burger Joint
8,Pain Pain,827,88 rue des Martyrs,Bakery
8,Buvette Gastrothèque,852,"28 rue Henry Monnier, 9e",Bistro
8,La Compagnie du Café,827,19 rue Notre Dame de Lorette,Café
8,Le Bon Georges,888,"45 rue Saint-Georges, 9e",Bistro
8,Juste,909,48 rue Laffitte,Seafood Restaurant
8,Dumbo,931,64 rue Jean-Baptiste Pigalle,Burger Joint
8,La Bahianaise,570,85 Bis boulevard de Magenta,Brazilian Restaurant
8,El Nopal Taqueria,980,5 rue Duperré,Taco Restaurant
8,Les Gouttes de Dieu,978,8 rue Rossini,Wine Bar
8,BREIZH Café | La Crêpe Autrement,893,93 rue des Martyrs,Creperie
8,Carton Bio,402,6 boulevard de Denain,Bakery
8,Pret A Manger,771,45 rue la Fayette,Sandwich Spot
8,Bouillon Pigalle,937,22 boulevard de Clichy,French Restaurant
