name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id
Château de Vincennes,48.84423193255657,2.439209537709179,15,34,49,112
Roger Salengro - Général de Gaulle,48.820029010376956,2.4846760556101803,23,3,26,113
Gare d'Austerlitz - Quai Saint-Bernard,48.84369030864,2.3657163977623,22,5,27,114
Marceau Delorme - Pierre Brossolette,48.91206062860357,2.295897423568745,23,0,23,115
Saint-Mandé - Docteur Arnold Netter,48.84462585769668,2.404946386814118,19,18,37,116
Harpe - Saint-Germain,48.851518815017,2.3436703160405,4,38,42,117
Daumesnil - Hébrard,48.8429,2.38474,30,6,36,118
Victor Hugo - Galliéni,48.838020154411,2.2460845112801,29,3,32,119
Montreuil - République,48.85026349463687,2.4345204234123234,13,9,22,120
Bois de Vincennes - Polygone,48.83544491617421,2.431421081436563,6,42,48,121
République - Louis Loucheur,48.823549261189,2.5101865455508,35,2,37,122
Mairie du 8ème ,48.877932,2.318264,1,13,14,123
Suffren - La Motte-Piquet,48.850881230919,2.3012199997902,16,6,22,124
Place Charles Michels,48.846401,2.28502,22,14,36,125
Gare du Nord - La Chapelle,48.884178287286,2.3561057075858,8,10,18,126
Molitor - Michel-Ange,48.845182081538,2.262112773566,0,0,0,127
George V - Christophe Colomb,48.87046,2.30104,7,17,24,128
Alexander Fleming - Belvédère,48.88179064200294,2.4030599377642674,11,20,31,129
Boétie - Ponthieu,48.871417284355,2.3076787590981,11,34,45,130
Aboukir - Alexandrie,48.86868344444473,2.3502043269474897,5,16,21,131
Abbé Carton - Plantes,48.827673823166,2.3209181427956,8,17,25,132
Hôpital Robert Debré,48.88005222200894,2.4008650346327003,10,22,32,133
Gabriel Lamé,48.8351212784276,2.385534569621086,27,7,34,134
Division Leclerc - Kléber,48.798666226364,2.2833752789972,2,22,24,135
Place André Malraux,48.863925158727,2.3356226831675,6,30,36,136
Parc Roger Salengro,48.905303858642,2.31055945158,16,18,34,137
Pyrénées - Dagorno,48.855425770695085,2.4051643162965775,4,16,20,138
Porte de la Muette,48.86302317841182,2.2687188170157406,3,32,35,139
Borrégo - Gambetta,48.87330497045532,2.4014145880937576,4,21,25,140
Pierre Brossolette - Adolphe Pinard,48.821772279548,2.3131558299065,10,11,21,141
Phalsbourg - Villiers,48.88242307900951,2.3090453445911407,2,14,16,142
Gare du Stade,48.9312676,2.2603778,16,3,19,143
Pierret - Madrid,48.882976576876565,2.260125767248034,2,25,27,144
Place Adolphe Cherioux - Vaugirard,48.83959442800459,2.3010657727718353,47,12,59,145
Hôtel de Ville de Rueil-Malmaison,48.878194,2.181724,19,1,20,146
Beffroy,48.886591074488,2.2613945603371,1,24,25,147
Gare de l'Est - Fidélité,48.874575,2.356796,2,11,13,148
Gare de Bercy,48.839794573906,2.3826066032052,24,8,32,149
Station Paris Basketball - Ney - Charles Hermite,48.898748039775,2.3645754531026,7,13,20,150
Petites Ecuries - Faubourg Poissonnière,48.87397217237368,2.348388757504776,6,10,16,151
Saint-Vincent - Verdun,48.819211549234495,2.254007756710053,32,2,34,152
Gay Lussac - Saint-Jacques,48.844730256132,2.3419239448664,0,24,24,153
Édouard Vaillant - Place Jean Jaurès,48.86265537999924,2.2089037319128613,1,22,23,154
LCL Campus - Place Oscar Niemeyer,48.805342480621576,2.363983690738678,15,22,37,155
Brillat-Savarin - Küss,48.822203,2.350422,17,2,19,156
Place du Docteur Yersin,48.82010494991975,2.3725583776831627,3,47,50,157
Place Pigalle,48.8827555,2.3361566,4,16,20,158
Mairie du Kremlin-Bicêtre,48.81191981537702,2.3570189997553825,19,6,25,159
Victor Hugo - La Pompe,48.86795222470859,2.28146318346262,4,36,40,160
Port - Maurice Chevalier,48.832474421632,2.490257616467,29,0,29,161
Gare de Laplace,48.80893199114179,2.3349460959434514,8,35,43,162
Tremblay - Lac des Minimes,48.834131261494,2.4547516554594,8,38,46,163
Sahel - Général Michel Bizot,48.840872964793355,2.4044444784522057,16,14,30,164
Pyrénées - Avron,48.853246898211985,2.405871044529538,1,31,32,165
Aubervilliers - Curial,48.89088305227546,2.3688579350709915,5,17,22,166
Londres - Place d'Estienne d'Orves,48.876693805756986,2.3305362090468407,0,23,23,167
Stalingrad - Henri Luisette,48.78363092456589,2.366935946761926,3,22,25,168
Pasteur - Gambetta,48.84572797384512,2.4236011505126953,7,10,17,169
Port-Royal - Hôpital du Val-de-Grâce,48.837668272811,2.3448138346607,4,13,17,170
Gare RER les Grésillons,48.919898633572764,2.31458459136273,21,0,21,171
Mairie du 3ème,48.86446178139141,2.361762821674347,18,12,30,172
Murat - Porte de Saint-Cloud,48.83750862621299,2.2577651962637906,35,3,38,173
Félix Faure - Lourmel,48.83868901709515,2.2818081825971603,44,14,58,174
Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,21,4,25,175
Paganini - Davout,48.85135,2.412021,6,16,22,176
Sorbier - Gasnier-Guy,48.865217631011,2.3936596512794,3,30,33,177
