station,name,distance,address,rating
2,Bocamexa,234.70246496763542,95 rue Oberkampf,3.9
2,Nove,1333.697183467979,9 rue de Charonne,4.6
2,Le Plein Soleil,385.7449654362273,90 avenue Parmentier,3.3
2,Atelier des Lumières,332.8350562419839,38 rue Saint-Maur,4.5
3,Courtepaille,541.9011117634493,1 Rue Jules Ferry,4.3
3,Ristorante Del Arte,1453.410688133383,Avenue du Général de Gaulle,3.3
3,Le Nanteuil et l'Auberge du Golf,1058.2470806371757,12 rue Raspail,0.0
3,El Rancho,1648.8129570418648,Centre commercial Rosny 2,2.7
3,La Bocca Delle Delizie,1795.403088321688,17 rue Général de Gaulle,4.0
3,L'Auberge du Golf,936.6216271596304,12 rue Raspail,0.0
3,La cuisine de Franck,1654.1304569047254,38 avenue du Maréchal Foch,5.0
3,Chidori,932.6038234444105,78 avenue du Général de Gaulle,3.1
3,Edo Man,1605.4371950208242,34 avenue du Maréchal Foch,5.0
3,Basilic,1312.3368956347585,16 Rue de Lisbonne,3.4
3,Why Not Sushi,1771.6615955087818,2 Allée Courbet,0.0
3,Musée de l'Histoire Vivante,1421.998962813297,31 Boulevard Théophile-Sueur,0.0
3,Musée de L'histoire de Rosny-sous-Bois,413.44233647829213,7 Rue Saint-Claude,0.0
3,Les 2 rives,1651.4148447369237,68 Rue Ruffins,1.0
3,Alinéa Café,1227.8090512400336,16 rue de Lisbonne,0.0
3,Pizza Prestige,1486.9308762692958,20 Mar Foch,0.0
4,Chez Félicie,354.8759898314076,174 avenue du Maine,3.9
4,Café du Rendez-Vous,282.7438391799255,2 ave du Général Leclerc,3.6
4,Bistrotters,1060.6580472206288,9 rue Decrès,4.6
4,Villa Saint Jacques,392.2965043330315,1 boulevard Saint-Jacques,4.1
4,Les Catacombes de Paris,334.59866186489563,1 avenue du Colonel Henri Rol-Tanguy,4.2
4,Le Petit Baigneur,372.19019481944633,10 rue de la Sablière,4.2
4,L'Assiette,430.88180945052767,181 rue du Château,4.1
4,Le Cornichon,362.4861060814874,34 Rue Gassendi,4.5
4,Aux Enfants Gatés,337.6956110089779,4 rue Danville,4.5
4,Le Comptoir,407.17670490006606,18 avenue René Coty,4.4
4,Maison Peret,233.30141841375115,6 rue Daguerre,3.5
4,Les Jardins Contini,206.9259957660747,49 avenue du Général Leclerc,3.6
4,Le Mauritius,96.18081302188054,3 rue Ernest Cresson,3.5
4,Le Jeroboam,954.1555855588183,72 rue Didot,4.7
4,Café Daguerre,254.42403721993338,4 avenue du Général Leclerc,3.6
4,L'Estrapade,1935.2150976696494,15 rue de l'Estrapade,4.7
4,Le Bistro V,1411.8010145985606,56 bd de Port-Royal,5.0
4,La Vie d'Ange,630.6853586068945,41 bd Saint-Jacques,4.6
4,Lion Sot,284.2402688768637,6 avenue René Coty,4.7
4,Chez Papa,498.5351620354591,6 rue Gassendi,3.7
