station_name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id,poi_name,distance,address,rating
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,17,8,25,3,L'Auberge du Golf,936.6216271596304,12 rue Raspail,4.065355850422195
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,17,8,25,3,Chidori,932.6038234444104,78 avenue du Général de Gaulle,3.1
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,17,8,25,3,Musée de L'histoire de Rosny-sous-Bois,413.44233647829213,7 Rue Saint-Claude,4.065355850422195
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Chez Félicie,354.8759898314076,174 avenue du Maine,3.9
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Café du Rendez-Vous,282.7438391799255,2 ave du Général Leclerc,3.6
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Villa Saint Jacques,392.2965043330315,1 boulevard Saint-Jacques,4.1
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Les Catacombes de Paris,334.59866186489563,1 avenue du Colonel Henri Rol-Tanguy,4.2
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Petit Baigneur,372.19019481944633,10 rue de la Sablière,4.2
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,L'Assiette,430.88180945052767,181 rue du Château,4.1
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Cornichon,362.4861060814874,34 Rue Gassendi,4.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Aux Enfants Gatés,337.6956110089779,4 rue Danville,4.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Comptoir,407.17670490006606,18 avenue René Coty,4.4
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Maison Peret,233.30141841375115,6 rue Daguerre,3.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Les Jardins Contini,206.9259957660747,49 avenue du Général Leclerc,3.6
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Mauritius,96.18081302188054,3 rue Ernest Cresson,3.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Jeroboam,954.1555855588184,72 rue Didot,4.7
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Café Daguerre,254.42403721993335,4 avenue du Général Leclerc,3.6
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,La Vie d'Ange,630.6853586068945,41 bd Saint-Jacques,4.6
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Lion Sot,284.2402688768637,6 avenue René Coty,4.7
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Chez Papa,498.5351620354591,6 rue Gassendi,3.7
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Kigawa,402.7052500482509,186 rue du Chateau,4.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Swann et Vincent,279.604709125018,22 place Denfert-Rochereau,4.2
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Contre Allée,717.6986796601977,83 ave Denfert-Rochereau,4.3
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Origins 14 - la Régalade,997.231471266924,49 avenue Jean Moulin,4.1
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,La Grande Ourse,445.276995492796,9 Rue Georges Saché,4.3
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,A Mi-Chemin,186.9545146412593,31 rue Boulard,3.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Bouquet d'Alesia,436.469913647179,75 avenue du Général Leclerc,3.4
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Le Lakanal,305.8471723103914,2 ave René Coty,3.8
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Augustin,541.1524506692891,79 rue Daguerre,4.0
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Green Café,82.87401165279016,6 rue Brézin,4.7
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Les Artistes,869.4561649376075,60 Rue Didot,3.8
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,L'Écir,509.3784720356143,59 bd Saint Jacques,3.8
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Ei Shin Sushi,96.18081302188054,3 rue Ernest Cresson,4.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Aux Plumes,130.59668694386502,45 rue Boulard,4.2
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Il Far'niente,907.8832006576392,1 rue Paul Fort,3.9
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,La Belle Ronde,248.8793367326766,19 rue Daguerre,3.5
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4,Asian Bistro,25.33681727037426,3 rue Mouton-Duvernet,4.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Bistrotters,235.1142409992611,9 rue Decrès,4.6
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,L'Envie,19.828473594211875,57 rue Pernety,4.6
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Ayako-Teppanyaki,180.08753995248665,67 rue d'Ouest,4.0
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Chez Félicie,551.2020625356281,174 avenue du Maine,3.9
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Les Frangines,163.51056609074067,46 Rue Raymond Losserand,3.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Jeroboam,572.0990242672601,72 rue Didot,4.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Il Gallo Nero,228.77717341856425,36 rue Raymond Losserand,3.9
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,La Verrière Paris,78.3682409704371,4 rue Niépce,4.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Millésimes 62,297.58826896293255,13 place de Catalogne,3.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Pizzeria Pernety,32.60823932941686,44 rue Pernety,3.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Les Tontons,218.70069849579377,38 Rue Raymond Losserand,3.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,L'Assiette,483.11861599871816,181 rue du Château,4.1
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Ciel de Paris,941.245784541733,33 avenue du Maine,3.6
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,L'Alexandra,250.42859773987743,6 Rue Pernety,4.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Les Artistes,504.4304831783016,60 Rue Didot,3.8
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Shiawase,130.41388664933626,97-99 rue Raymond Losserand,3.9
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Cobéa,417.4995344007609,11 rue Raymond Losserand,4.4
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Plomb du Cantal,878.224445040716,3 rue de la Gaîté,3.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Cornichon,634.6497196734209,34 Rue Gassendi,4.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Petit Baigneur,558.4353711869906,10 rue de la Sablière,4.2
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,L'Essentiel,346.56304799060115,168 rue d'Alesia,4.4
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Château Poivre,326.4888246648854,145 rue du Château,4.1
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Chez Papa,752.066591627683,6 rue Gassendi,3.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Laurier,283.2803774407335,2 rue Pernety,4.1
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Augustin,556.4330211842387,79 rue Daguerre,4.0
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Au Reveil du XV,653.982119282434,108 rue Falguière,4.7
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,La Grande Ourse,468.7310033703391,9 Rue Georges Saché,4.3
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Le Kigawa,504.97420638163834,186 rue du Chateau,4.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Aux Enfants Gatés,741.1575733715508,4 rue Danville,4.5
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5,Les Fauves,992.6893647740976,33 boulevard Edgar Quinet,4.2
Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,18,17,35,6,Les Magnolias,357.62541306820367,Route de la Pyramide,2.5
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Chéri-Chérie,474.8448975186174,203 avenue Gambetta,4.4
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Le Tablier Rouge,768.3924628651134,40 Rue Chine,4.4
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,L'Escargot,862.1294468453646,50 rue Villette,4.0
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Le Petit Vingtième,785.3716331192376,381 rue des Pyrénées,4.2
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Il Posto,978.8124278671204,356 rue des Pyrenees,3.8
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Aux Ours,925.1605429715024,236 rue des Pyrénées,3.5
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Chez Papa,500.26160812639694,13 rue du Pré Saint-Gervais,4.0
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,La Toscana,532.3474131489722,118 Avenue Gambetta,4.0
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,O Divin,801.8034447387928,35 rue des Annelets,4.5
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Ma Pomme en Colimaçon,884.8139599181635,107 rue de Ménilmontant,4.4
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Le Bistrot du Poinçonneur,435.5156130451156,229 avenue Gambetta,3.7
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Nakagawa,774.2595457686596,9 rue Lassus,3.8
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Le Télégraphe,48.622208471002594,263 Rue de Belleville,2.8
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Le Bistrot des Soupirs,732.5142648657408,49 Rue De La Chine,3.9
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,Il Pinocchio,907.343770988918,115 Avenue Gambetta,3.4
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,L'Heure Bleue,737.6330780971798,57 rue Arthur Rozier,3.8
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7,TopKnot Café,982.6364429010848,6 rue Melingue,4.4
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Brasserie Bellanger,201.1343827694785,140 rue du Faubourg Poissonnière,4.8
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,La Maison Bleue,168.50919205285476,7 place Franz Liszt,4.4
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Braisenville,306.6925705117175,36 rue Condorcet,4.2
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,ASPIC,396.56096326659434,24 rue de la Tour d'Auvergne,5.0
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Terminus Nord,245.04275941493887,23 rue de Dunkerque,3.7
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le Bébé,262.2276867305111,8 rue Pierre Sémard,4.2
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le Potager du Père Thierry,817.0030511756516,16 rue des Trois Frères,4.6
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Sacrée Fleur,931.7521594297976,50 rue Clignancourt,4.6
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Piccola Toscana,309.61790036730616,10 rue Rochambeau,4.5
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Hugo,345.95159324734146,12 rue Papillon,4.5
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Les Fils à Maman,753.8351860032968,7 bis rue Geoffroy-Marie,4.0
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le Pantruche,668.5623312143341,3 rue Victor Massé,4.4
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,La Villa Andréa,304.7433839825062,109 boulevard Magenta,3.8
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le 52,878.6574445934081,52 rue du Faubourg Saint-Denis,4.5
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Pizzeria Babalou,880.8286443231992,4 rue Lamarck,4.5
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Chez Michel,237.1300380542832,10 rue de Belzunce,4.1
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Les Miscellanées de M Jash,192.70841208506576,96 rue de Maubeuge,4.8
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Le Richer,576.2129172865232,2 rue Richer,4.2
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Eels,667.2817606532345,27 rue d'Hauteville,4.9
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Pizza Di Loretta,409.32887243825655,62 rue Rodier,4.3
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,La Pointe du Grouin,246.6870514120501,8 rue de Belzunce,3.2
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Buvette,856.4220176714747,28 rue Henri Monnier,4.1
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,Léandrés,81.81107025521187,78 rue de Maubeuge,5.0
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8,La Chaufferie,369.38145956933823,2 boulevard Denain,4.1
